City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,port mathurin,-19.6833,63.4167,78.22,66,77,27.47,MU,1715192790
109,altai,46.3722,96.2583,46.83,63,68,6.69,MN,1715192790
110,qaqortoq,60.7167,-46.0333,36.79,60,100,3.56,GL,1715192790
111,tiksi,71.6872,128.8694,14.61,95,48,7.87,RU,1715192791
112,tieli,46.95,128.05,48.61,67,89,10.76,CN,1715192791
113,east london,-33.0153,27.9116,67.14,94,100,2.3,ZA,1715192791
114,fort bragg,35.139,-79.006,90.82,57,40,9.22,US,1715192360
115,yuzhno-kurilsk,44.0306,145.8556,37.38,95,93,13.31,RU,1715192791
116,enewetak,11.3474,162.3373,81.39,73,78,20.22,MH,1715192791
117,torbat-e jam,35.244,60.6225,78.37,41,96,14.63,IR,1715192791
118,vilyuysk,63.7553,121.6247,30.99,97,100,8.01,RU,1715192791
119,monticello,45.3055,-93.7941,72.91,43,0,11.5,US,1715192500
120,jwaneng,-24.6004,24.7303,69.58,30,0,9.33,BW,1715192791
121,markovo,57.3206,107.0881,43.61,69,100,3.8,RU,1715192792
122,cabo san lucas,22.8909,-109.9124,88.9,36,20,10.36,MX,1715192628
123,abepura,-2.6333,140.5833,76.01,100,20,1.14,ID,1715192792
124,polyarnyy,69.1989,33.4478,27.77,79,100,5.12,RU,1715192792
125,puerto cabezas,14.0351,-83.3888,89.56,74,75,9.22,NI,1715192792
126,college,64.8569,-147.8028,50.09,78,75,3.44,US,1715192792
127,hirara,24.8,125.2833,71.46,64,20,18.41,JP,1715192792
128,winnemucca,40.973,-117.7357,44.08,39,47,9.8,US,1715192792
129,tekman,39.6436,41.5078,42.71,71,53,4.65,TR,1715192792
130,juan aldama,24.2908,-103.3944,85.59,11,100,18.59,MX,1715192793
131,katsuura,35.1333,140.3,57.34,87,100,21.92,JP,1715192793
132,mandiana,10.6333,-8.6833,81.41,65,85,9.62,GN,1715192793
133,egilsstadir,65.2653,-14.3948,48.11,43,40,9.22,IS,1715192793
134,kingston,17.997,-76.7936,85.15,71,37,4.72,JM,1715192461
135,selfoss,63.9331,-20.9971,46.04,52,17,13.96,IS,1715192793
136,wailua homesteads,22.0669,-159.378,75.63,82,100,10.36,US,1715192793
137,hobyo,5.3505,48.5268,85.12,77,16,9.73,SO,1715192793
138,anadyr,64.75,177.4833,18.1,67,0,8.95,RU,1715192682
139,nouadhibou,20.931,-17.0347,67.98,83,20,20.71,MR,1715192793
140,sao joao da barra,-21.6403,-41.0511,87.89,84,6,11.14,BR,1715192794
141,ta`u,-14.2336,-169.5144,84.0,78,36,11.3,AS,1715192794
142,nemuro,43.3236,145.575,36.99,84,27,7.38,JP,1715192794
143,moranbah,-22.0016,148.0466,61.95,89,93,14.34,AU,1715192794
144,east ballina,-28.8667,153.5833,61.81,73,90,7.83,AU,1715192794
145,lebu,-37.6167,-73.65,54.28,60,9,7.81,CL,1715192794
146,puerto ayora,-0.7393,-90.3518,80.56,95,100,3.0,EC,1715192794
147,valparaiso,-33.0393,-71.6273,68.14,43,0,14.97,CL,1715192794
148,san antonio de pale,-1.4014,5.6325,80.74,89,78,9.17,GQ,1715192794
149,san pedro de ycuamandiyu,-24.0917,-57.0764,97.52,33,39,7.72,PY,1715192794
150,centerville,39.6284,-84.1594,83.39,43,0,4.61,US,1715192795
151,zinjibar,13.1287,45.3807,87.08,69,80,4.38,YE,1715192795
152,simanggang,1.2472,111.4528,76.98,100,100,2.3,MY,1715192795
